0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.0,30007.7,16116.6,13686.4,25489.2,27191.3,10714.2,39061.1,7099.5,14799.7,24326.4,25483.2,26563.3,18402.4,24671.3,8768.1,10706.9,23800.8,26677.6,35673.3,15911.5,28974.1,34594.6,20775.0,39061.1,12747.2,26938.0,24584.8,6933.7,33583.2,15437.5,16116.6,30002.1,10650.2,9787.1,7445.3,26646.2,16869.2,17030.9,28531.2,28176.6,35673.3,12520.1,40763.2,31874.1,10570.6,20981.0,4951.1,13675.3,14437.1,18329.2,35912.7
32525.0,0.0,30731.8,22243.5,12650.5,16241.7,21702.8,21272.4,29713.4,27989.8,11487.6,16323.3,19108.9,16967.9,17457.1,27644.5,29583.2,26603.6,19223.2,7840.1,19201.8,14631.7,6396.1,25290.6,21272.4,19131.3,18995.9,9801.4,29405.0,7194.7,28627.6,30731.8,20096.4,21765.5,28663.5,24504.2,13807.5,31484.4,26913.9,14124.7,15382.2,7840.1,23485.4,23780.9,18512.4,23652.7,19291.1,26024.9,20692.4,17799.0,16924.1,24369.7
18937.4,29549.1,0.0,10633.9,21173.2,19205.0,13625.8,32200.4,20284.2,27984.4,20991.4,17496.9,18577.1,28418.4,16685.0,21952.7,23891.5,9034.4,18691.3,35214.8,24719.8,42006.4,30219.4,7690.4,32200.4,18726.7,18951.7,24052.3,20118.3,33124.7,28622.2,0.0,23530.1,12012.8,22971.7,18462.7,21130.6,1725.2,7304.4,21357.8,37829.5,35214.8,9467.6,33902.6,23887.8,15871.9,12994.7,13779.8,26860.0,20817.4,15907.4,26058.4
13139.9,21972.2,9894.4,0.0,13630.1,15978.4,6048.9,27848.1,14981.6,20845.2,13414.5,14270.2,15350.4,21638.4,9044.4,14823.0,16761.8,11399.9,15464.7,27637.9,17939.9,34429.5,26992.7,9562.1,27848.1,10757.2,15725.0,16571.1,14815.7,25547.8,21483.1,9894.4,18789.1,5232.9,15842.0,11682.7,17903.9,10647.0,5344.8,18131.1,30252.6,27637.9,1865.9,29550.3,20661.1,7902.4,9768.0,6999.9,19720.9,13240.5,8330.5,24699.8
27478.1,11103.4,21413.1,13393.7,0.0,4268.9,12853.1,20928.3,24666.5,22942.9,2211.9,4350.4,6744.7,12785.8,6480.7,22597.6,24536.4,14851.3,6859.0,16769.0,14154.9,23560.7,11874.6,13538.3,20928.3,11594.0,6765.5,3732.6,24358.1,14678.9,23580.7,21413.1,11869.3,12915.8,23616.6,19457.3,1834.6,22165.7,15161.6,4839.9,19383.8,16769.0,17371.2,22630.4,10545.4,14654.3,8775.6,20978.0,17769.3,12752.1,8973.5,16305.7
29171.2,14918.4,20617.7,14725.4,4668.5,0.0,12836.4,15020.4,24911.3,23187.8,6026.9,1573.3,2475.8,16600.8,5583.8,22842.4,24781.2,12770.3,2590.1,20584.1,17970.0,27375.7,10768.3,11457.3,15020.4,13520.6,2496.6,8305.8,24602.9,18493.9,23825.6,20617.7,5961.4,12899.0,23861.4,19702.2,4625.9,21370.3,14366.2,3733.5,23198.8,20584.1,15889.5,16722.5,7432.7,13967.4,7273.0,21023.4,22032.8,13736.4,9656.1,10397.8
12162.5,21555.8,14003.1,5318.7,13213.6,14015.5,0.0,27711.1,13095.5,14145.1,12998.0,13515.9,15166.6,13881.1,8627.9,11026.6,12965.4,15312.5,15280.8,27221.4,10182.6,23211.2,22634.8,13474.7,27711.1,5905.3,15647.5,16154.6,12787.1,25131.3,14782.9,14003.1,18652.1,1993.1,12045.6,7886.4,15317.8,14755.7,9257.4,15600.0,22413.7,27221.4,6068.0,29413.3,20583.6,3050.5,9019.1,6022.6,12990.1,7540.1,7914.0,23088.6
38344.9,25009.0,29631.5,23899.0,18900.9,13348.1,26958.6,0.0,39901.9,38178.3,20259.2,13374.3,10832.8,28444.4,16650.4,37832.9,39771.7,23372.6,10816.2,30674.7,29390.3,37466.3,17424.0,21756.7,0.0,24587.2,12883.8,17539.6,39593.5,28584.6,38816.1,29631.5,7588.6,26795.2,38852.0,34692.7,18858.3,30384.1,23380.0,14879.2,33289.4,30674.7,25063.1,5765.4,9258.1,25034.1,17991.0,30197.0,33004.7,24803.0,20722.7,5172.7
5288.5,29573.5,20004.3,17574.0,25055.0,25556.5,12645.5,43127.7,0.0,12704.4,23892.2,25057.0,26707.6,16307.1,21208.5,2516.3,5021.2,27688.4,26821.9,35239.2,15477.3,25324.6,34160.4,24662.6,43127.7,12313.0,27188.5,24150.6,652.3,33149.1,13342.2,20004.3,34068.8,12541.1,2957.5,5350.0,26212.0,20756.8,20918.5,28097.0,24527.1,35239.2,16407.7,44829.9,32744.9,10056.5,22940.0,8927.3,11580.0,14003.0,17895.1,39800.3
15303.6,27389.9,27566.1,17714.9,22871.5,23366.7,13773.7,37062.3,12492.0,0.0,21708.6,22867.1,24517.8,10288.1,19018.7,10405.8,6679.0,28602.3,24632.1,33055.6,11437.9,19305.7,31976.8,27289.4,37062.3,10123.2,24998.7,21967.0,12166.3,30965.5,1255.4,27566.1,28003.4,14510.3,11424.8,9211.7,24028.5,28318.7,21653.7,25913.5,18508.2,33055.6,19154.1,38764.5,30561.3,11153.9,20750.2,13563.6,5561.1,11813.1,15705.2,32439.8
25661.3,9286.6,20819.0,12330.6,2365.6,5956.8,11790.0,22330.4,22849.7,21126.1,0.0,6038.4,8432.6,10969.0,7544.3,20780.8,22719.6,16539.2,8546.9,14952.2,12338.1,21743.9,13363.1,15226.2,22330.4,10530.9,8453.4,3353.3,22541.3,12862.1,21763.9,20819.0,13271.4,11852.7,21799.8,17640.5,3522.6,21571.5,16849.5,7299.7,17567.0,14952.2,13572.6,24032.6,11947.5,13591.2,9378.3,19161.2,15952.5,10935.3,7910.4,17707.9
27874.8,14512.4,19321.3,13429.0,4262.5,2344.4,11870.9,15902.2,23945.8,22222.3,5620.9,0.0,3357.7,16194.8,4618.3,21876.9,23815.7,11473.9,3471.9,20178.0,17564.0,26969.7,11481.9,10160.9,15902.2,12555.1,4152.1,7141.6,23637.5,18087.9,22860.1,19321.3,6843.2,11933.6,22896.0,18736.7,4219.9,20073.9,13069.8,4447.2,22792.8,20178.0,14593.1,17604.4,9088.2,13002.0,5976.6,19727.0,21067.3,12770.9,8690.6,11279.7
